Costumer_name,Costumer_age,Costumer_email,Costumer_address,Type_situation,Outcome_insurance,Days_to_fix,Active_user,Car_model,Year,Count_claims,Situation_Date,Costumer_id
João Lucas Cunha,29,tmendes@example.com,"Alameda Santos, 891
São Jorge 2ª Seção
03586027 Dias de da Cruz / RN",Collision,APPROVED,79,1,Skoda Octavia,2023,2,2023-09-18,583
Cecília Lopes,20,leticiafreitas@example.com,"Favela de da Mota, 44
Ouro Preto
97626-897 das Neves / PR",Collision,NOT USED,77,1,Mini Paceman,2023,2,2023-07-20,584
Noah Silva,46,lnunes@example.net,"Recanto Enzo Gabriel Cardoso, 58
Conjunto Califórnia I
55998-274 Sales do Sul / DF",Natural Phenomena,NOT USED,52,1,Opel/Vauxhall Vivaro,2023,1,2023-10-16,585
Alícia Aragão,35,luccarezende@example.org,"Vale Mendes
Antonio Ribeiro De Abreu 1ª Seção
66034120 Cunha / SE",Collision,NOT USED,103,1,Fisker Pear,2023,1,2022-07-13,586
Emilly Teixeira,61,renan61@example.net,"Estação Kaique Monteiro, 71
Vila Da Ária
45419-589 Ramos / SC",Fire,NOT USED,28,1,Opel/Vauxhall Vivaro,2023,1,2023-08-01,587
Manuela Rocha,33,kevinfogaca@example.org,"Trevo de Alves, 80
Vila Copacabana
51767125 Vieira / PA",Robbery,DENIED,96,0,Vauxhall Crossland,2023,2,2022-01-08,588
Caio Silva,61,vdas-neves@example.org,"Viela Freitas, 81
Calafate
34507-225 Nascimento / PB",Fire,APPROVED,21,1,Fiat 124 Spider,2023,1,2022-03-10,589
Sarah das Neves,60,beatriz16@example.com,"Viela de Mendes, 66
Vila São João Batista
99034-283 Costela Grande / CE",Collision,NOT USED,64,0,Subaru BRZ,2019,1,2022-12-22,590
Isaac Silveira,44,costelaeduardo@example.org,"Sítio de Pereira, 67
Conjunto Santa Maria
08011-145 Freitas do Galho / SE",Natural Phenomena,NOT USED,35,0,Infiniti QX70 Hybrid,2023,1,2023-08-20,591
Maria Sophia Fogaça,30,da-motamaria-vitoria@example.net,"Largo Sofia Duarte, 49
Vila Batik
94096-008 Caldeira / SP",Robbery,APPROVED,9,0,Ferrari 812 Superfast,2018 ,1,2023-08-25,592
Eduarda Barbosa,39,dsouza@example.org,"Via Luiz Otávio Nogueira
Ventosa
19694559 Aragão / MT",Fire,APPROVED,1,1,Tata Motors Tiago,2016,1,2023-08-03,593
Francisco Cavalcanti,35,ateixeira@example.net,"Conjunto de Nascimento, 3
Jardim Atlântico
55956444 Sales de da Luz / DF",Robbery,DENIED,35,0,Maserati Levante,2017 ,1,2023-11-15,594
João Guilherme da Mata,60,rochaeduarda@example.com,"Estação Moura, 7
São Vicente
29471-497 Porto do Campo / PA",Collision,NOT USED,50,0,Toyota Corolla,2019,2,2023-08-09,595
João Guilherme da Mata,60,rochaeduarda@example.com,"Estação Moura, 7
São Vicente
29471-497 Porto do Campo / PA",Collision,NOT USED,50,0,Toyota Corolla,2020,2,2022-08-29,595
Sr. Bryan Melo,70,nascimentoisabelly@example.org,"Área Martins, 52
Ápia
85599181 Dias / AC",Robbery,NOT USED,78,0,Peugeot 3008,2023,1,2023-11-20,596
Sofia Moreira,55,luigialmeida@example.com,"Jardim Alexia Lima, 39
Senhor Dos Passos
57484756 Novaes das Flores / MG",Robbery,DENIED,87,1,Vauxhall Grandland,2023,1,2023-02-09,597
Lucas Gabriel Melo,32,luanaviana@example.net,"Praça Correia, 62
Sagrada Família
82056-147 Oliveira / DF",Collision,DENIED,81,0,Vauxhall Combo-Life,2023,1,2023-04-14,598
Sra. Olivia Vieira,48,sduarte@example.net,"Colônia Gabriela da Costa, 77
Acaba Mundo
01274244 Duarte / RN",Collision,NOT USED,74,1,Morgan Roadster,2023,1,2022-05-07,599
Alexia Freitas,48,mendesmiguel@example.org,"Praia Fogaça, 30
São Geraldo
92021286 Barbosa / RN",Collision,DENIED,76,0,Toyota RAV4,2019,2,2023-12-07,600
Alexia Freitas,48,mendesmiguel@example.org,"Praia Fogaça, 30
São Geraldo
92021286 Barbosa / RN",Collision,DENIED,76,0,Toyota RAV4,2020,2,2023-09-25,600
Luiz Felipe Pires,38,vbarros@example.net,"Conjunto Barbosa, 46
Santa Terezinha
26381-048 Monteiro da Praia / PR",Natural Phenomena,DENIED,107,1,Land Rover Discovery,2023,1,2023-04-20,601
Luiz Henrique Cavalcanti,28,wmoura@example.net,"Residencial de Pires
Jardim Atlântico
64872-956 Sales / PR",Robbery,NOT USED,21,1,Cadillac XT6,2023,1,2022-05-21,602
Diego Lima,62,felipemendes@example.org,"Condomínio Igor Silveira, 32
Anchieta
27228-383 da Mata de Porto / GO",Fire,APPROVED,45,1,Suzuki Vitara,2023,2,2022-08-30,603
Diego Lima,62,felipemendes@example.org,"Condomínio Igor Silveira, 32
Anchieta
27228-383 da Mata de Porto / GO",Fire,APPROVED,45,1,Suzuki Vitara,2020,2,2022-01-30,603
Dra. Olivia da Cunha,63,da-pazenzo-gabriel@example.net,"Núcleo de Costela, 71
Vista Do Sol
39192375 Moreira / PA",Robbery,DENIED,106,0,Chevrolet Tahoe,1995,2,2022-09-05,604
Dra. Olivia da Cunha,63,da-pazenzo-gabriel@example.net,"Núcleo de Costela, 71
Vista Do Sol
39192375 Moreira / PA",Robbery,DENIED,106,0,Chevrolet Tahoe,1995,2,2023-02-01,604
Sr. Benício das Neves,42,moreirajulia@example.com,"Ladeira Pedro Viana, 80
Vila Suzana Primeira Seção
17623-079 Cavalcanti / PB",Collision,NOT USED,27,0,Lamborghini Aventador,2011,1,2022-12-19,605
Renan Oliveira,31,carvalhoemanuelly@example.net,"Sítio da Cunha, 4
Alto Vera Cruz
16039-825 Moreira / RN",Collision,DENIED,85,0,Zagato Fiat 124 Spider Zagato,2011,1,2022-03-16,606
Júlia da Cunha,31,vianayasmin@example.org,"Rodovia Jesus
Jardinópolis
08969-784 Castro / ES",Natural Phenomena,APPROVED,37,1,Porsche Cayenne,2020,1,2022-10-25,607
Agatha Freitas,28,alexandre42@example.org,"Núcleo de Castro, 27
Nova Granada
34639355 Moreira do Galho / SC",Robbery,APPROVED,24,0,Zagato Aston Martin V12 Zagato,2011,2,2023-06-20,608
Srta. Sabrina das Neves,28,ccampos@example.org,"Condomínio Correia, 50
Alto Dos Pinheiros
33318415 Viana de Cardoso / DF",Fire,DENIED,15,0,Mini Countryman John Cooper Works,2023,1,2023-07-02,609
Luiza Ramos,20,bcorreia@example.org,"Conjunto Maysa Mendes, 1
Serra Do Curral
19105-623 Porto / AC",Fire,DENIED,108,0,Alfa Romeo Giulia Quadrifoglio,2023,1,2023-09-04,610
Henrique Nogueira,68,gabrielferreira@example.net,"Campo Theo da Paz, 26
Vila São Rafael
81172509 Lima / PE",Robbery,DENIED,81,1,Mazda CX-5,2019,1,2022-06-04,611
Ana Sophia Azevedo,59,renanmonteiro@example.net,"Viaduto Lucas Gabriel Costa, 96
Minas Brasil
44937-087 Monteiro do Campo / AC",Fire,APPROVED,5,0,Koenigsegg Jesko,2022,2,2022-08-03,612
Sr. Marcos Vinicius Rodrigues,32,nina09@example.net,"Via de Lima, 209
Vila Nova Dos Milionarios
59793-071 Novaes / AC",Natural Phenomena,DENIED,21,1,Honda Civic,2022,1,2023-10-06,613
Rafaela Gonçalves,24,obarros@example.net,"Viela Ana Vitória Gonçalves, 91
Conjunto Califórnia Ii
44783-587 Almeida / SP",Collision,DENIED,88,0,Morgan Plus 4,2023,1,2022-07-11,614
Fernanda Nunes,32,silvavitoria@example.org,"Trecho Melissa Mendes, 154
Vista Alegre
74262550 Dias de Rodrigues / RN",Collision,APPROVED,2,1,Land Rover Range Rover Sport,2023,1,2022-10-18,615
Srta. Nina Costa,55,ana-claraaragao@example.org,"Trevo de Azevedo, 476
Madre Gertrudes
93205260 da Mota Grande / MA",Fire,APPROVED,34,1,Tata Motors Thar,2020,1,2023-09-09,616
Marcela Castro,40,theo03@example.org,"Estação Melo, 338
Serrano
71081840 Santos do Sul / PE",Collision,DENIED,3,1,Skoda Octavia,2023,1,2022-06-23,617
Yuri Nunes,58,epereira@example.org,"Rua de Ramos, 60
Vila Das Oliveiras
31025-987 da Costa da Praia / RN",Collision,NOT USED,25,0,McLaren 570S,2016,1,2023-04-16,618
Maria Clara Souza,70,dcampos@example.com,"Esplanada de Teixeira, 52
Jardim Leblon
12643-953 Moreira das Pedras / CE",Fire,APPROVED,23,1,Dodge Durango,2023,1,2023-10-27,619
Dra. Mirella Pires,54,joao-migueldias@example.com,"Ladeira André Araújo, 5
Petropolis
55730674 Azevedo / SP",Robbery,APPROVED,20,1,Suzuki Jimny,2023,2,2022-04-03,620
Dra. Mirella Pires,54,joao-migueldias@example.com,"Ladeira André Araújo, 5
Petropolis
55730674 Azevedo / SP",Robbery,APPROVED,20,1,Suzuki Jimny,2019,2,2023-10-28,620
Gabrielly Souza,69,zcosta@example.net,"Distrito Kamilly Ramos
Ribeiro De Abreu
17336-009 da Mota / MG",Collision,NOT USED,6,1,Lamborghini Murciélago,2001,1,2022-07-23,621
Juliana Dias,66,vieiraana-laura@example.com,"Parque de Cardoso, 4
Fazendinha
95082-298 Lopes / GO",Fire,NOT USED,44,1,Lotus Exige,2023,1,2023-09-01,622
Lorenzo Cunha,57,davi-lucca82@example.com,"Via Farias, 21
Caiçara - Adelaide
02143-778 Correia do Galho / AC",Natural Phenomena,DENIED,50,1,Ram 1500,2023,2,2022-11-22,623
Dra. Lívia Moraes,54,kaiquenovaes@example.net,"Travessa de Santos, 15
Havaí
90499543 Vieira de Silveira / PE",Fire,APPROVED,38,0,Renault Clio,2023,2,2023-06-20,624
Dra. Lívia Moraes,54,kaiquenovaes@example.net,"Travessa de Santos, 15
Havaí
90499543 Vieira de Silveira / PE",Fire,APPROVED,38,0,Renault Clio,2020,2,2022-10-15,624
Sra. Milena Souza,20,salesian@example.net,"Vale Lorena Moreira, 1
Serra Do Curral
34548-199 Caldeira / SE",Fire,NOT USED,43,0,Isuzu NQR,2016,1,2023-12-22,625
Isadora Carvalho,29,jesusisabella@example.com,"Setor de Costela, 322
Sion
76246141 da Costa das Pedras / PR",Collision,DENIED,45,1,Saab 9-5 SportCombi,2011,1,2023-12-22,626
Marcos Vinicius Sales,22,natalia14@example.com,"Favela de Souza, 4
Ipiranga
38342-350 Viana / DF",Collision,APPROVED,17,0,Vauxhall Crossland,2023,1,2023-12-03,627
Emilly Carvalho,59,natalia73@example.com,"Fazenda de Rodrigues
Mirtes
24695310 Sales de Minas / PR",Fire,DENIED,36,0,Lamborghini Diablo,1990,1,2023-01-01,628
Luiz Felipe da Mata,37,rodriguesisaac@example.net,"Praia Martins, 22
Floresta
23234-884 Pereira Alegre / GO",Collision,APPROVED,83,1,Hyundai Sonata,2018 ,1,2022-01-26,629
Gustavo Cunha,63,matheus53@example.net,"Vale Lima, 3
Vila Primeiro De Maio
38670-472 Silva / RS",Robbery,NOT USED,69,1,Isuzu FTR,2016,1,2022-11-06,630
Pedro Correia,60,isadora26@example.org,"Distrito de Gomes, 81
Vila Pilar
99106-987 Gonçalves Alegre / RO",Natural Phenomena,NOT USED,74,1,Chevrolet Spark,2013,2,2022-11-22,631
Rodrigo Fernandes,38,ferreirarafael@example.com,"Recanto Luiz Gustavo Barros, 44
Alta Tensão 1ª Seção
68609493 Ramos / RR",Collision,APPROVED,12,0,Volvo Polestar 2,2023,1,2023-08-21,632
Davi Teixeira,66,moraesana@example.com,"Feira da Costa, 5
Santa Isabel
94675635 Ribeiro / AL",Fire,APPROVED,32,0,Polestar Polestar 2,2021,1,2022-07-09,633
Isabel Rocha,28,maria-juliapereira@example.com,"Colônia Carvalho, 16
Jardim Alvorada
58152-119 da Mota / RN",Collision,APPROVED,1,0,Toyota Highlander,2019,2,2022-08-14,634
Isabel Rocha,28,maria-juliapereira@example.com,"Colônia Carvalho, 16
Jardim Alvorada
58152-119 da Mota / RN",Collision,APPROVED,1,0,Toyota Highlander,2020,2,2023-11-14,634
Benício Fogaça,37,martinsluigi@example.org,"Trevo de Silveira, 493
Vila Sumaré
34062-076 Porto / PR",Fire,NOT USED,78,0,Nissan Versa,2019,1,2022-02-15,635
Pietro Silveira,38,juliadas-neves@example.org,"Pátio Duarte, 613
Jardim Vitoria
37239-780 Viana de Cardoso / PI",Natural Phenomena,APPROVED,66,0,Lexus LS,1989,1,2022-01-14,636
Alícia Silveira,53,xgoncalves@example.net,"Rodovia Barros, 8
Vila Oeste
40785-465 Nunes / PI",Collision,APPROVED,106,0,Zagato Aston Martin DB4 GT Zagato,1961,1,2023-07-06,637
Juan Nogueira,47,enzo-gabrielfernandes@example.com,"Quadra de Jesus
Conjunto São Francisco De Assis
05170-510 Martins / SE",Natural Phenomena,APPROVED,82,1,SEAT Tarraco,2023,1,2023-08-22,638
Sophie da Luz,41,heitornogueira@example.org,"Passarela Maria Vitória Pires, 24
Ribeiro De Abreu
96536927 Pinto / MG",Fire,NOT USED,4,1,Fiat 124 Spider,2023,1,2023-12-10,639
Renan Jesus,56,carolinalopes@example.org,"Jardim Barbosa, 20
Vila Santo Antônio Barroquinha
47206-306 Araújo / SC",Robbery,NOT USED,4,0,Volvo C40 Recharge,2023,1,2023-05-17,640
Calebe Rezende,67,ksouza@example.net,"Rodovia de Caldeira, 77
Olaria
65416144 Teixeira / PI",Robbery,APPROVED,106,1,Cadillac XT4,2023,1,2023-05-14,641
Caroline Novaes,30,raquelmoraes@example.net,"Lagoa da Luz, 54
Camargos
83682-360 Viana do Amparo / MS",Fire,NOT USED,33,0,Mitsubishi Mirage,2014 ,1,2022-11-09,642
Pietra Jesus,38,xpeixoto@example.com,"Distrito de Duarte, 61
Solar Do Barreiro
92241796 Nunes / ES",Fire,NOT USED,26,1,Mazda CX-3,2019,1,2022-09-28,643
Esther Monteiro,38,alanarodrigues@example.org,"Setor Carlos Eduardo Melo, 4
Ernesto Nascimento
26555249 Aragão de Souza / DF",Natural Phenomena,DENIED,83,1,Cadillac XT5,2023,1,2022-10-20,644
Mariane da Rosa,42,santosana-livia@example.com,"Viaduto de da Cunha, 40
Garças
82861-718 da Rocha de Araújo / RS",Robbery,APPROVED,22,0,Porsche 911,2020,1,2023-07-21,645
Alícia Barros,63,gda-cunha@example.org,"Avenida Souza, 498
Vila Calafate
28943-800 Castro / AM",Natural Phenomena,DENIED,33,0,Audi Q3,2019,1,2022-11-28,646
Luana Jesus,63,renan97@example.com,"Lago Noah da Rocha
São Bernardo
09065-219 Caldeira do Sul / BA",Collision,DENIED,20,1,Lamborghini Countach,1974,1,2023-01-12,647
Matheus Fogaça,43,hmoraes@example.org,"Passarela de Santos, 46
Vila Da Amizade
74938-177 Silva / MA",Natural Phenomena,APPROVED,78,1,Genesis G70,2019,1,2023-05-04,648
Lavínia Lopes,47,xgomes@example.org,"Área de da Costa
Sport Club
96635-524 Oliveira da Prata / PA",Fire,DENIED,109,1,Zagato Fiat 124 Spider Zagato,2011,1,2022-05-02,649
Laura Peixoto,29,yuridias@example.com,"Setor de Aragão, 57
Santa Rosa
48131169 Fogaça da Praia / TO",Robbery,APPROVED,4,0,Honda HR-V,2023,1,2022-02-06,650
Luiz Miguel Monteiro,50,caraujo@example.net,"Aeroporto Barros, 8
Europa
56081604 Pires / MT",Fire,DENIED,6,0,Skoda Superb,2023,1,2023-07-29,651
Pietro Jesus,68,alvesbianca@example.org,"Praia Daniela Farias, 55
Vila São Geraldo
48800-445 Pinto Alegre / MS",Robbery,APPROVED,30,0,Ram 2500,2023,1,2022-05-16,652
Sra. Maria Eduarda Rocha,58,wramos@example.com,"Vila de Almeida, 73
Barreiro
75558-425 Souza das Pedras / BA",Fire,APPROVED,28,1,Koenigsegg Agera R,2011,1,2023-07-19,653
Beatriz Carvalho,48,tjesus@example.net,"Vila Amanda Oliveira, 11
Aparecida
41699942 da Cruz / CE",Robbery,APPROVED,4,0,Cadillac Escalade,2023,1,2023-05-12,654
Dra. Emanuella Carvalho,21,abarros@example.org,"Residencial da Rocha, 397
Beira Linha
99115692 Nogueira / ES",Fire,APPROVED,82,0,Lancia Thema 8.32,1986,1,2022-06-03,655
Dra. Melissa Pires,58,joanamoraes@example.com,"Rua de Aragão, 888
Grotinha
47334-752 Caldeira / ES",Fire,APPROVED,33,0,Infiniti Q60,2023,1,2023-12-05,656
Isadora Cavalcanti,23,barrosenrico@example.org,"Estrada de Fernandes
Itatiaia
17770-035 Duarte / MT",Robbery,APPROVED,28,0,Renault Megane,2023,2,2022-07-03,657
Isadora Cavalcanti,23,barrosenrico@example.org,"Estrada de Fernandes
Itatiaia
17770-035 Duarte / MT",Robbery,APPROVED,28,0,Renault Megane,2016,2,2023-01-28,657
Luiz Fernando Souza,47,cgoncalves@example.org,"Núcleo Barbosa
Vila Madre Gertrudes 2ª Seção
79093440 Nogueira do Amparo / MT",Robbery,APPROVED,48,0,Volvo XC60,2023,1,2023-11-28,658
Theo Lopes,47,isabellycarvalho@example.org,"Rodovia Mendes, 155
Ambrosina
37839347 Teixeira / SC",Fire,DENIED,14,0,Land Rover Defender,2023,1,2023-10-24,659
Samuel Melo,39,theo56@example.net,"Viaduto João Vitor Porto, 1
Alto Barroca
35564018 da Mata / RN",Natural Phenomena,DENIED,15,0,McLaren Artura,2022,1,2022-11-12,660
Pedro Henrique Duarte,21,davida-conceicao@example.com,"Setor de Souza, 55
Monte São José
97519912 da Cruz das Flores / SP",Fire,APPROVED,108,1,Genesis GV80,2021,2,2023-04-08,661
Luna Oliveira,28,diogomoraes@example.com,"Estação Porto, 5
Conjunto Jardim Filadélfia
31011-599 das Neves / PA",Fire,DENIED,46,0,Kia Telluride,2020 ,1,2023-02-02,662
Clarice Moura,26,silvadaniela@example.net,"Jardim de da Paz, 1
Vila Novo São Lucas
44139827 Viana Grande / PI",Collision,NOT USED,62,0,Mercedes-Benz GLC-Class,2022,1,2022-10-09,663
Clarice Teixeira,54,fogacapedro@example.net,"Largo da Cruz, 91
Morro Dos Macacos
11509-406 Dias do Campo / GO",Fire,NOT USED,68,1,Koenigsegg Agera S,2013,1,2023-02-05,664
Kevin Porto,36,mouradiego@example.org,"Avenida de Nunes, 60
Lajedo
11020-614 da Paz Verde / GO",Natural Phenomena,APPROVED,3,0,Jaguar F-PACE,2023,1,2022-04-27,665
Raul Lopes,48,ppereira@example.com,"Vila Caldeira, 45
Marmiteiros
36758704 Novaes / SC",Robbery,APPROVED,81,1,Nissan Sentra,2019,1,2022-07-27,666
Bianca Melo,24,da-cunhaantonio@example.net,"Jardim Souza, 239
Indaiá
94329803 Rezende de Pires / MT",Fire,DENIED,3,1,Volvo V60,2023,1,2022-01-21,667
Gustavo Gomes,20,marcelo10@example.com,"Viela Oliveira, 43
Vila Nova
03169-517 Barros / RJ",Fire,DENIED,37,1,Rolls-Royce Ghost,2010,1,2023-05-04,668
Alexia da Cunha,62,bruno49@example.org,"Ladeira Natália Araújo, 2
Miramar
34944355 Almeida Alegre / AP",Collision,NOT USED,91,1,Volkswagen Atlas,2018,1,2022-11-09,669
Sr. Luiz Gustavo Moreira,27,oliveiracaroline@example.com,"Vila Porto, 33
Lagoinha
62896113 Cunha do Sul / RR",Robbery,APPROVED,4,1,McLaren 720S,2018,1,2022-07-26,670
Sabrina Silveira,53,rezendemurilo@example.org,"Vale da Rocha, 85
Petropolis
24146784 Cardoso / BA",Robbery,NOT USED,69,1,Kia Sorento,2019 ,1,2023-02-21,671
Nina Moraes,20,wpinto@example.net,"Fazenda Fernandes, 6
São Jorge 1ª Seção
68505-383 Cardoso / SP",Collision,DENIED,49,1,Alfa Romeo Stelvio,2023,1,2023-01-03,672
Ana Lívia Nascimento,49,isis77@example.net,"Conjunto Luana Viana
Sport Club
14875-428 da Cunha / ES",Robbery,DENIED,87,1,Zagato Jaguar C-Type,1951,1,2022-04-01,673
Guilherme da Paz,52,tcarvalho@example.com,"Conjunto de Cunha, 23
Belmonte
18704-636 Castro do Galho / PB",Robbery,NOT USED,78,0,Alfa Romeo Giulia,2023,1,2023-07-25,674
Kaique Freitas,44,omartins@example.org,"Colônia Moura, 86
Vista Do Sol
27467-988 Vieira da Prata / PE",Collision,APPROVED,13,0,Zagato Alfa Romeo TZ3 Stradale,2011,1,2022-09-16,675
Cauê Ramos,41,ealves@example.com,"Colônia de Alves, 76
Marieta 2ª Seção
29445286 da Mota / AC",Collision,APPROVED,23,1,Lexus RX,1998,1,2022-05-14,676
Amanda Moura,56,crezende@example.com,"Lago Dias, 43
Vila Pilar
21673712 Sales Paulista / BA",Fire,APPROVED,31,1,Toyota Camry,2018,2,2023-11-07,677
Amanda Moura,56,crezende@example.com,"Lago Dias, 43
Vila Pilar
21673712 Sales Paulista / BA",Fire,APPROVED,31,1,Toyota Camry,2020,2,2023-02-04,677
Benício Pereira,58,diogo18@example.com,"Sítio Vieira, 35
Xodo-Marize
33997-217 Lopes de Oliveira / RS",Natural Phenomena,DENIED,80,0,Lamborghini Murciélago,2001,1,2022-02-18,678
Davi Lucas Pires,23,npereira@example.net,"Rua Pedro Henrique Araújo, 85
Dona Clara
06772023 Ferreira / BA",Collision,NOT USED,11,0,Mini Cooper S,2023,1,2023-05-24,679
Lucca Vieira,34,oda-luz@example.org,"Pátio Joana Nascimento, 94
Olaria
11713-479 da Mata / RN",Collision,DENIED,7,1,Chevrolet Equinox,2005,2,2023-06-01,680
Lucca Vieira,34,oda-luz@example.org,"Pátio Joana Nascimento, 94
Olaria
11713-479 da Mata / RN",Collision,DENIED,7,1,Chevrolet Equinox,2023,2,2023-03-05,680
Dr. Yuri Castro,32,silveiraenzo@example.net,"Campo Enzo Gabriel Araújo
Parque São Pedro
51120-892 Pinto do Oeste / RO",Collision,NOT USED,65,0,Saab 9-3,2011,1,2022-08-11,681
Isabel Novaes,40,felipe38@example.org,"Jardim de Costa, 5
Vila Trinta E Um De Março
63928-289 Fogaça do Sul / ES",Natural Phenomena,APPROVED,25,1,Alfa Romeo Giulia Quadrifoglio,2023,1,2022-04-02,682
Lucca Souza,51,dpinto@example.net,"Viela Enrico Melo
Santa Cecilia
08123-075 da Cruz / PI",Collision,APPROVED,22,1,Citroën C4,2023,1,2023-01-09,683
Luiz Miguel Pinto,28,fariasmariana@example.net,"Esplanada Azevedo, 81
Vila Santa Rosa
46736-195 Cavalcanti / AM",Fire,NOT USED,41,1,Opel/Vauxhall Crossland,2023,1,2022-11-28,684
Felipe Fernandes,44,acardoso@example.net,"Quadra da Luz, 19
Acaba Mundo
70415-980 Costela / PE",Robbery,DENIED,21,0,Ferrari 488 Pista,2019 ,1,2022-07-20,685
Caroline Pereira,62,ana-sophia30@example.com,"Viela Costela, 6
Candelaria
48551596 Almeida / PI",Fire,NOT USED,95,0,Vauxhall Vivaro,2023,1,2023-11-29,686
Rebeca Aragão,35,helenacostela@example.org,"Sítio da Luz, 25
Apolonia
40902869 Nogueira do Sul / SP",Collision,NOT USED,104,1,Opel/Vauxhall Astra,2023,1,2022-03-13,687
Nicole Almeida,31,yasmin41@example.net,"Vale de da Costa, 18
Alto Das Antenas
66466322 Rocha / PI",Natural Phenomena,APPROVED,40,1,Opel/Vauxhall Mokka,2023,1,2023-02-03,688
Vinicius Viana,52,azevedolais@example.org,"Colônia de Cavalcanti, 36
Embaúbas
41583939 Ribeiro / TO",Natural Phenomena,NOT USED,83,1,Mitsubishi Outlander,2014 ,1,2022-09-21,689
Brenda Correia,20,carlos-eduardosilveira@example.org,"Setor Ferreira, 823
Salgado Filho
73476505 Correia do Norte / BA",Collision,APPROVED,82,0,Ferrari 488 GTB,2016 ,2,2022-04-23,377
Renan Castro,65,mmonteiro@example.org,"Favela de Pires
Jardim Vitoria
51766-135 Jesus de Minas / RO",Robbery,NOT USED,71,1,Lotus Exige,2023,1,2023-06-10,690
Heloísa Aragão,20,bcunha@example.com,"Favela Clara Martins, 78
Ernesto Nascimento
04959-086 Ferreira / AC",Fire,DENIED,58,1,Alfa Romeo Stelvio Quadrifoglio,2023,1,2023-03-18,691
Luiz Henrique Freitas,61,gda-cunha@example.org,"Esplanada Juliana Vieira, 58
Serrano
31891-161 Carvalho da Serra / SE",Natural Phenomena,DENIED,30,0,Vauxhall Mokka,2023,1,2023-12-14,692
Alexia Silveira,55,maria-eduarda76@example.net,"Favela Cardoso, 7
Novo Santa Cecilia
76810921 Campos / RO",Natural Phenomena,APPROVED,12,1,Vauxhall Crossland,2023,1,2022-04-01,693
Joana Pires,49,larada-paz@example.com,"Passarela de Mendes, 50
Parque São José
05414934 Monteiro / ES",Fire,NOT USED,8,1,Lamborghini Aventador,2011,1,2022-09-30,694
Lucas Gabriel Viana,52,maria-vitoriaalmeida@example.com,"Conjunto Viana, 7
Olaria
87015438 Aragão / DF",Collision,NOT USED,48,0,Ford F-150,2015,2,2022-05-30,695
Levi Araújo,22,tpires@example.net,"Vereda da Mata, 80
Santa Cecilia
18844-139 Duarte / GO",Natural Phenomena,NOT USED,67,0,Chrysler 300,2023,1,2023-09-01,696
Maria Fernanda Pires,68,maite39@example.net,"Aeroporto da Rosa, 640
Pirineus
94782034 Mendes de Gomes / SC",Fire,DENIED,78,0,Cadillac CT5-V,2023,1,2022-09-19,697
Emanuel Rezende,48,rda-cunha@example.org,"Recanto Rebeca Costa
Marmiteiros
80020-062 Teixeira Paulista / RS",Natural Phenomena,DENIED,5,0,Ferrari GTC4Lusso,2017 ,1,2023-11-06,698
Dr. João Vitor Nascimento,30,gabriela08@example.org,"Largo de da Conceição, 35
Castanheira
65473-681 Cardoso de da Mota / MT",Robbery,DENIED,105,0,Mazda MX-5,2019,1,2022-10-15,699
Pedro Miguel da Rocha,51,arodrigues@example.org,"Condomínio Isabelly Pereira, 434
Cidade Jardim Taquaril
53644-545 Correia / AC",Robbery,DENIED,83,0,Citroën C5 Aircross,2023,1,2023-10-27,700
Alexandre Freitas,43,roliveira@example.org,"Viaduto Gomes, 45
Jaqueline
45276-160 Silveira de Dias / SP",Collision,NOT USED,44,1,Koenigsegg Regera,2016,1,2023-10-21,701
Leonardo Rodrigues,21,xda-cunha@example.org,"Condomínio Benício da Mata, 5
Santa Monica
16393439 da Mota / SE",Fire,NOT USED,84,1,McLaren 540C,2016,1,2023-11-24,702
Leonardo Porto,59,pedro-miguelalmeida@example.com,"Praia de Cardoso, 7
Vila Madre Gertrudes 3ª Seção
63889-806 Barros do Galho / RJ",Fire,NOT USED,83,1,Isuzu NQR,2016,1,2023-07-16,703
Davi Lucca Oliveira,43,elisapeixoto@example.net,"Rua de Rodrigues
Vila Nova Cachoeirinha 2ª Seção
38171336 Aragão / PR",Natural Phenomena,DENIED,5,1,Infiniti QX50,2023,1,2023-11-15,704
Milena da Costa,60,bmendes@example.org,"Via de Correia, 71
Vila Petropolis
03756744 Barros / SP",Natural Phenomena,APPROVED,108,0,Wiesmann Roadster MF4,2009,1,2023-06-08,705
Caio Aragão,48,fmoura@example.net,"Vila de Fogaça, 263
Camponesa 2ª Seção
19173-829 da Cruz de Alves / PR",Collision,DENIED,13,0,Lucid Motors Lucid Air,2022,2,2022-08-31,413
Heloísa Farias,65,csilveira@example.org,"Praia Nathan Vieira, 78
Solimoes
28421650 Viana Paulista / SP",Fire,DENIED,33,1,Toyota Corolla,2019,3,2022-12-18,706
Heloísa Farias,65,csilveira@example.org,"Praia Nathan Vieira, 78
Solimoes
28421650 Viana Paulista / SP",Fire,DENIED,33,1,Toyota Corolla,2020,3,2023-11-11,706
João Gabriel Viana,45,xporto@example.net,"Colônia Melo, 316
Nova America
15362-873 Cavalcanti de Minas / PE",Fire,APPROVED,69,0,Ferrari LaFerrari,2014 ,2,2022-04-26,707
Sr. Daniel Fernandes,60,da-motaluna@example.net,"Estação Pedro Henrique Correia, 29
São José
08594-635 Santos / RR",Fire,NOT USED,25,0,Skoda Superb,2023,1,2023-06-29,708
